a,b,c,d,e,f
1.37037,1,1,1.05,-1,2.71429
1.36963,0.928571,0.998,1,-0.998,2.988
1.36889,0.928571,0.996,1,-0.996,2.976
1.36815,0.928572,0.994,1,-0.994,2.964
1.36741,0.928571,0.992,1,-0.992,2.952
1.36667,0.928571,0.99,1,-0.99,2.94
1.36593,0.928572,0.988,1,-0.988,2.928
1.36519,0.928571,0.986,1,-0.986,2.916
1.36444,0.928571,0.984,1,-0.984,2.904
1.3637,0.928571,0.982,1,-0.982,2.892
1.36296,0.928572,0.98,1,-0.98,2.88
1.36222,0.928572,0.978,1,-0.978,2.868
1.36148,0.928572,0.976,1,-0.976,2.856
1.36074,0.928571,0.974,1,-0.974,2.844
1.36,0.928572,0.972,1,-0.972,2.832
1.35926,0.928572,0.97,1,-0.97,2.82
1.35852,0.928571,0.968,1,-0.968,2.808
1.35778,0.928572,0.966,1,-0.966,2.796
1.35704,0.928571,0.964,1,-0.964,2.784
1.3563,0.928572,0.962,1,-0.962,2.772
1.35556,0.928572,0.96,1,-0.96,2.76
1.35481,0.928572,0.958,1,-0.958,2.748
1.35407,0.928572,0.956,1,-0.956,2.736
1.35333,0.928572,0.954,1,-0.954,2.724
1.35259,0.928572,0.952,1,-0.952,2.712
1.35185,0.92857,0.95,0.999999,-0.95,2.70001
1.35111,0.928572,0.948,1,-0.948,2.688
1.35037,0.928572,0.946,1,-0.946,2.676
1.34963,0.928572,0.944,1,-0.944,2.664
1.34889,0.928572,0.942,1,-0.942,2.652
1.34815,0.928572,0.94,1,-0.94,2.64
1.34741,0.928572,0.938,1,-0.938,2.628
1.34667,0.92857,0.936,0.999999,-0.936,2.61601
1.34593,0.928572,0.934,1,-0.934,2.604
1.34519,0.928572,0.932,1,-0.932,2.592
1.34444,0.928572,0.93,1,-0.93,2.58
1.3437,0.92857,0.928,0.999999,-0.928,2.56801
1.34296,0.928574,0.926,1,-0.926,2.55599
1.34222,0.92857,0.924,0.999999,-0.924,2.54401
1.34148,0.928574,0.922,1,-0.922,2.53199
1.34074,0.92857,0.92,0.999999,-0.92,2.52001
1.34,0.928574,0.918,1,-0.918,2.50799
1.33926,0.92857,0.916,0.999999,-0.916,2.49601
1.33852,0.92857,0.914,0.999999,-0.914,2.48401
1.33778,0.928574,0.912,1,-0.912,2.47199
1.33704,0.92857,0.91,0.999999,-0.91,2.46001
1.3363,0.928574,0.908,1,-0.908,2.44799
1.33556,0.92857,0.906,0.999999,-0.906,2.43601
1.33481,0.928574,0.904,1,-0.904,2.42399
1.33407,0.92857,0.902,0.999999,-0.902,2.41201
1.33333,0.92857,0.9,0.999999,-0.9,2.40001
1.33259,0.928574,0.898,1,-0.898,2.38799
1.33185,0.92857,0.896,0.999999,-0.896,2.37601
1.33111,0.928574,0.894,1,-0.894,2.36399
1.33037,0.92857,0.892,0.999999,-0.892,2.35201
1.32963,0.928574,0.89,1,-0.89,2.33999
1.32889,0.92857,0.888,0.999999,-0.888,2.32801
1.32815,0.92857,0.886,0.999999,-0.886,2.31601
1.32741,0.928574,0.884,1,-0.884,2.30399
1.32667,0.92857,0.882,0.999999,-0.882,2.29201
1.32593,0.928574,0.88,1,-0.88,2.27999
1.32519,0.92857,0.878,0.999999,-0.878,2.26801
1.32444,0.928574,0.876,1,-0.876,2.25599
1.3237,0.92857,0.874,0.999999,-0.874,2.24401
1.32296,0.92857,0.872,0.999999,-0.872,2.23201
1.32222,0.928574,0.87,1,-0.87,2.21999
1.32148,0.92857,0.868,0.999999,-0.868,2.20801
1.32074,0.928574,0.866,1,-0.866,2.19599
1.32,0.92857,0.864,0.999999,-0.864,2.18401
1.31926,0.92857,0.862,0.999999,-0.862,2.17201
1.31852,0.928574,0.86,1,-0.86,2.15999
1.31778,0.928574,0.858,1,-0.858,2.14799
1.31704,0.928566,0.856,0.999996,-0.856,2.13602
1.3163,0.928574,0.854,1,-0.854,2.12399
1.31556,0.928574,0.852,1,-0.852,2.11199
1.31481,0.928574,0.85,1,-0.85,2.09999
1.31407,0.928566,0.848,0.999996,-0.848,2.08802
1.31333,0.928574,0.846,1,-0.846,2.07599
1.31259,0.928574,0.844,1,-0.844,2.06399
1.31185,0.928566,0.842,0.999996,-0.842,2.05202
1.31111,0.928574,0.84,1,-0.84,2.03999
1.31037,0.928574,0.838,1,-0.838,2.02799
1.30963,0.928574,0.836,1,-0.836,2.01599
1.30889,0.928566,0.834,0.999996,-0.834,2.00402
1.30815,0.928574,0.832,1,-0.832,1.99199
1.30741,0.928574,0.83,1,-0.83,1.97999
1.30667,0.928566,0.828,0.999996,-0.828,1.96802
1.30593,0.928574,0.826,1,-0.826,1.95599
1.30519,0.928574,0.824,1,-0.824,1.94399
1.30444,0.928574,0.822,1,-0.822,1.93199
1.3037,0.928566,0.82,0.999996,-0.82,1.92002
1.30296,0.928574,0.818,1,-0.818,1.90799
1.30222,0.928574,0.816,1,-0.816,1.89599
1.30148,0.928566,0.814,0.999996,-0.814,1.88402
1.30074,0.928574,0.812,1,-0.812,1.87199
1.3,0.928574,0.81,1,-0.81,1.85999
1.29926,0.928574,0.808,1,-0.808,1.84799
1.29852,0.928566,0.806,0.999996,-0.806,1.83602
1.29778,0.928574,0.804,1,-0.804,1.82399
1.29704,0.928574,0.802,1,-0.802,1.81199
1.2963,0.928566,0.8,0.999996,-0.8,1.80002
1.29556,0.928574,0.798,1,-0.798,1.78799
1.29481,0.928574,0.796,1,-0.796,1.77599
1.29407,0.928574,0.794,1,-0.794,1.76399
1.29333,0.928566,0.792,0.999996,-0.792,1.75202
1.29259,0.928574,0.79,1,-0.79,1.73999
1.29185,0.928574,0.788,1,-0.788,1.72799
1.29111,0.928566,0.786,0.999996,-0.786,1.71602
1.29037,0.928574,0.784,1,-0.784,1.70399
1.28963,0.928574,0.782,1,-0.782,1.69199
1.28889,0.928574,0.78,1,-0.78,1.67999
1.28815,0.928566,0.778,0.999996,-0.778,1.66802
1.28741,0.928574,0.776,1,-0.776,1.65599
1.28667,0.928574,0.774,1,-0.774,1.64399
1.28593,0.928566,0.772,0.999996,-0.772,1.63202
1.28519,0.928574,0.77,1,-0.77,1.61999
1.28444,0.928574,0.768,1,-0.768,1.60799
1.2837,0.928574,0.766,1,-0.766,1.59599
1.28296,0.928566,0.764,0.999996,-0.764,1.58402
1.28222,0.928574,0.762,1,-0.762,1.57199
1.28148,0.928574,0.76,1,-0.76,1.55999
1.28074,0.928566,0.758,0.999996,-0.758,1.54802
1.28,0.928574,0.756,1,-0.756,1.53599
1.27926,0.928574,0.754,1,-0.754,1.52399
1.27852,0.928574,0.752,1,-0.752,1.51199
1.27778,0.928566,0.75,0.999996,-0.75,1.50002
1.27704,0.928574,0.748,1,-0.748,1.48799
1.2763,0.928574,0.746,1,-0.746,1.47599
1.27556,0.928566,0.744,0.999996,-0.744,1.46402
1.27481,0.928574,0.742,1,-0.742,1.45199
1.27407,0.928574,0.74,1,-0.74,1.43999
1.27333,0.928574,0.738,1,-0.738,1.42799
1.27259,0.928566,0.736,0.999996,-0.736,1.41602
1.27185,0.928574,0.734,1,-0.734,1.40399
1.27111,0.928574,0.732,1,-0.732,1.39199
1.27037,0.928566,0.73,0.999996,-0.73,1.38002
1.26963,0.928574,0.728,1,-0.728,1.36799
1.26889,0.928574,0.726,1,-0.726,1.35599
1.26815,0.928566,0.724,0.999996,-0.724,1.34402
1.26741,0.928574,0.722,1,-0.722,1.33199
1.26667,0.928574,0.72,1,-0.72,1.31999
1.26593,0.928574,0.718,1,-0.718,1.30799
1.26519,0.928574,0.716,1,-0.716,1.29599
1.26444,0.928574,0.714,1,-0.714,1.28399
1.2637,0.928558,0.712,0.999991,-0.712,1.27204
1.26296,0.928574,0.71,1,-0.71,1.25999
1.26222,0.928574,0.708,1,-0.708,1.24799
1.26148,0.928574,0.706,1,-0.706,1.23599
1.26074,0.928574,0.704,1,-0.704,1.22399
1.26,0.928574,0.702,1,-0.702,1.21199
1.25926,0.928574,0.7,1,-0.7,1.19999
1.25852,0.928558,0.698,0.999991,-0.698,1.18804
1.25778,0.928574,0.696,1,-0.696,1.17599
1.25704,0.928574,0.694,1,-0.694,1.16399
1.2563,0.928574,0.692,1,-0.692,1.15199
1.25556,0.928574,0.69,1,-0.69,1.13999
1.25481,0.928574,0.688,1,-0.688,1.12799
1.25407,0.928574,0.686,1,-0.686,1.11599
1.25333,0.928558,0.684,0.999991,-0.684,1.10404
1.25259,0.928574,0.682,1,-0.682,1.09199
1.25185,0.928574,0.68,1,-0.68,1.07999
1.25111,0.928574,0.678,1,-0.678,1.06799
1.25037,0.928574,0.676,1,-0.676,1.05599
1.24963,0.928574,0.674,1,-0.674,1.04399
1.24889,0.928574,0.672,1,-0.672,1.03199
1.24815,0.928558,0.67,0.999991,-0.67,1.02004
1.24741,0.928574,0.668,1,-0.668,1.00799
1.24667,0.928574,0.666,1,-0.666,0.995994
1.24593,0.928574,0.664,1,-0.664,0.983994
1.24519,0.928574,0.662,1,-0.662,0.971994
1.24444,0.928574,0.66,1,-0.66,0.959994
1.2437,0.928574,0.658,1,-0.658,0.947994
1.24296,0.928558,0.656,0.999991,-0.656,0.936037
1.24222,0.928574,0.654,1,-0.654,0.923995
1.24148,0.928574,0.652,1,-0.652,0.911994
1.24074,0.928574,0.65,1,-0.65,0.899994
1.24,0.928574,0.648,1,-0.648,0.887994
1.23926,0.928574,0.646,1,-0.646,0.875994
1.23852,0.928574,0.644,1,-0.644,0.863995
1.23778,0.928558,0.642,0.999991,-0.642,0.852036
1.23704,0.928574,0.64,1,-0.64,0.839994
1.2363,0.928574,0.638,1,-0.638,0.827994
1.23556,0.928574,0.636,1,-0.636,0.815995
1.23481,0.928574,0.634,1,-0.634,0.803994
1.23407,0.928574,0.632,1,-0.632,0.791995
1.23333,0.928574,0.63,1,-0.63,0.779994
1.23259,0.928558,0.628,0.999991,-0.628,0.768035
1.23185,0.928574,0.626,1,-0.626,0.755995
1.23111,0.928574,0.624,1,-0.624,0.743995
1.23037,0.928574,0.622,1,-0.622,0.731995
1.22963,0.928574,0.62,1,-0.62,0.719995
1.22889,0.928574,0.618,1,-0.618,0.707995
1.22815,0.928574,0.616,1,-0.616,0.695995
1.22741,0.928558,0.614,0.999991,-0.614,0.684034
1.22667,0.928574,0.612,1,-0.612,0.671994
1.22593,0.928574,0.61,1,-0.61,0.659994
1.22519,0.928574,0.608,1,-0.608,0.647994
1.22444,0.928574,0.606,1,-0.606,0.635995
1.2237,0.928574,0.604,1,-0.604,0.623995
1.22296,0.928574,0.602,1,-0.602,0.611995
1.22222,0.928558,0.6,0.999991,-0.6,0.600034
1.22148,0.928574,0.598,1,-0.598,0.587995
1.22074,0.928574,0.596,1,-0.596,0.575995
1.22,0.928574,0.594,1,-0.594,0.563995
1.21926,0.928574,0.592,1,-0.592,0.551995
1.21852,0.928574,0.59,1,-0.59,0.539994
1.21778,0.928574,0.588,1,-0.588,0.527995
1.21704,0.928558,0.586,0.999991,-0.586,0.516033
1.2163,0.928574,0.584,1,-0.584,0.503994
1.21556,0.928574,0.582,1,-0.582,0.491995
1.21481,0.928574,0.58,1,-0.58,0.479995
1.21407,0.928574,0.578,1,-0.578,0.467995
1.21333,0.928574,0.576,1,-0.576,0.455995
1.21259,0.928574,0.574,1,-0.574,0.443995
1.21185,0.928558,0.572,0.999991,-0.572,0.432032
1.21111,0.928574,0.57,1,-0.57,0.419994
1.21037,0.928574,0.568,1,-0.568,0.407995
1.20963,0.928574,0.566,1,-0.566,0.395995
1.20889,0.928574,0.564,1,-0.564,0.383995
1.20815,0.928574,0.562,1,-0.562,0.371996
1.20741,0.928574,0.56,1,-0.56,0.359995
1.20667,0.928558,0.558,0.999991,-0.558,0.348031
1.20593,0.928574,0.556,1,-0.556,0.335995
1.20519,0.928574,0.554,1,-0.554,0.323995
1.20444,0.928574,0.552,1,-0.552,0.311996
1.2037,0.928574,0.55,1,-0.55,0.299995
1.20296,0.928574,0.548,1,-0.548,0.287995
1.20222,0.928574,0.546,1,-0.546,0.275995
1.20148,0.928558,0.544,0.999991,-0.544,0.264031
1.20074,0.928574,0.542,1,-0.542,0.251996
1.2,0.928574,0.54,1,-0.54,0.239995
1.19926,0.928574,0.538,1,-0.538,0.227995
1.19852,0.928574,0.536,1,-0.536,0.215995
1.19778,0.928574,0.534,1,-0.534,0.203995
1.19704,0.928574,0.532,1,-0.532,0.191995
1.1963,0.928558,0.53,0.999991,-0.53,0.18003
1.19556,0.928574,0.528,1,-0.528,0.167995
1.19481,0.928574,0.526,1,-0.526,0.155996
1.19407,0.928574,0.524,1,-0.524,0.143996
1.19333,0.928574,0.522,1,-0.522,0.131996
1.19259,0.928574,0.52,1,-0.52,0.119996
1.19185,0.928574,0.518,1,-0.518,0.107995
1.19111,0.928558,0.516,0.999991,-0.516,0.0960286
1.19037,0.928574,0.514,1,-0.514,0.0839949
1.18963,0.928574,0.512,1,-0.512,0.0719957
1.18889,0.928574,0.51,1,-0.51,0.0599952
1.18815,0.928574,0.508,1,-0.508,0.047996
1.18741,0.928574,0.506,1,-0.506,0.035996
1.18667,0.928574,0.504,1,-0.504,0.0239956
1.18593,0.928558,0.502,0.999991,-0.502,0.0120277
1.18519,0.928574,0.5,1,-0.5,-4.52995e-06
1.18444,0.928574,0.498,1,-0.498,-0.0120046
1.1837,0.928574,0.496,1,-0.496,-0.0240049
1.18296,0.928574,0.494,1,-0.494,-0.0360041
1.18222,0.928574,0.492,1,-0.492,-0.0480044
1.18148,0.928574,0.49,1,-0.49,-0.0600035
1.18074,0.928558,0.488,0.999991,-0.488,-0.0719726
1.18,0.928574,0.486,1,-0.486,-0.0840039
1.17926,0.928574,0.484,1,-0.484,-0.096004
1.17852,0.928574,0.482,1,-0.482,-0.108004
1.17778,0.928574,0.48,1,-0.48,-0.120004
1.17704,0.928574,0.478,1,-0.478,-0.132005
1.1763,0.928574,0.476,1,-0.476,-0.144004
1.17556,0.928558,0.474,0.999991,-0.474,-0.155974
1.17481,0.928574,0.472,1,-0.472,-0.168003
1.17407,0.928574,0.47,1,-0.47,-0.180003
1.17333,0.928574,0.468,1,-0.468,-0.192004
1.17259,0.928574,0.466,1,-0.466,-0.204004
1.17185,0.928574,0.464,1,-0.464,-0.216004
1.17111,0.928574,0.462,1,-0.462,-0.228004
1.17037,0.928558,0.46,0.999991,-0.46,-0.239975
1.16963,0.928574,0.458,1,-0.458,-0.252004
1.16889,0.928574,0.456,1,-0.456,-0.264004
1.16815,0.928574,0.454,1,-0.454,-0.276004
1.16741,0.928574,0.452,1,-0.452,-0.288004
1.16667,0.928574,0.45,1,-0.45,-0.300004
1.16593,0.928558,0.448,0.999991,-0.448,-0.311975
1.16519,0.928589,0.446,1.00001,-0.446,-0.324032
1.16444,0.928558,0.444,0.999991,-0.444,-0.335975
1.1637,0.928589,0.442,1.00001,-0.442,-0.348032
1.16296,0.928558,0.44,0.999991,-0.44,-0.359975
1.16222,0.928558,0.438,0.999991,-0.438,-0.371975
1.16148,0.928589,0.436,1.00001,-0.436,-0.384032
1.16074,0.928558,0.434,0.999991,-0.434,-0.395975
1.16,0.928589,0.432,1.00001,-0.432,-0.408031
1.15926,0.928558,0.43,0.999991,-0.43,-0.419976
1.15852,0.928589,0.428,1.00001,-0.428,-0.432031
1.15778,0.928558,0.426,0.999991,-0.426,-0.443977
1.15704,0.928558,0.424,0.999991,-0.424,-0.455977
1.1563,0.928589,0.422,1.00001,-0.422,-0.468031
1.15556,0.928558,0.42,0.999991,-0.42,-0.479976
1.15481,0.928589,0.418,1.00001,-0.418,-0.49203
1.15407,0.928558,0.416,0.999991,-0.416,-0.503977
1.15333,0.928589,0.414,1.00001,-0.414,-0.51603
1.15259,0.928558,0.412,0.999991,-0.412,-0.527977
1.15185,0.928558,0.41,0.999991,-0.41,-0.539977
1.15111,0.928589,0.408,1.00001,-0.408,-0.55203
1.15037,0.928558,0.406,0.999991,-0.406,-0.563977
1.14963,0.928589,0.404,1.00001,-0.404,-0.57603
1.14889,0.928558,0.402,0.999991,-0.402,-0.587977
1.14815,0.928589,0.4,1.00001,-0.4,-0.600029
1.14741,0.928558,0.398,0.999991,-0.398,-0.611977
1.14667,0.928558,0.396,0.999991,-0.396,-0.623977
1.14593,0.928589,0.394,1.00001,-0.394,-0.636028
1.14519,0.928558,0.392,0.999991,-0.392,-0.647978
1.14444,0.928589,0.39,1.00001,-0.39,-0.660028
1.1437,0.928558,0.388,0.999991,-0.388,-0.671978
1.14296,0.928589,0.386,1.00001,-0.386,-0.684027
1.14222,0.928558,0.384,0.999991,-0.384,-0.695978
1.14148,0.928558,0.382,0.999991,-0.382,-0.707979
1.14074,0.928589,0.38,1.00001,-0.38,-0.720028
1.14,0.928558,0.378,0.999991,-0.378,-0.731979
1.13926,0.928589,0.376,1.00001,-0.376,-0.744027
1.13852,0.928558,0.374,0.999991,-0.374,-0.755979
1.13778,0.928589,0.372,1.00001,-0.372,-0.768027
1.13704,0.928558,0.37,0.999991,-0.37,-0.77998
1.1363,0.928558,0.368,0.999991,-0.368,-0.79198
1.13556,0.928589,0.366,1.00001,-0.366,-0.804026
1.13481,0.928558,0.364,0.999991,-0.364,-0.815979
1.13407,0.928589,0.362,1.00001,-0.362,-0.828026
1.13333,0.928558,0.36,0.999991,-0.36,-0.839979
1.13259,0.928589,0.358,1.00001,-0.358,-0.852026
1.13185,0.928558,0.356,0.999991,-0.356,-0.86398
1.13111,0.928558,0.354,0.999991,-0.354,-0.87598
1.13037,0.928589,0.352,1.00001,-0.352,-0.888026
1.12963,0.928558,0.35,0.999991,-0.35,-0.899981
1.12889,0.928589,0.348,1.00001,-0.348,-0.912026
1.12815,0.928558,0.346,0.999991,-0.346,-0.92398
1.12741,0.928589,0.344,1.00001,-0.344,-0.936025
1.12667,0.928558,0.342,0.999991,-0.342,-0.94798
1.12593,0.928558,0.34,0.999991,-0.34,-0.95998
1.12519,0.928589,0.338,1.00001,-0.338,-0.972024
1.12444,0.928558,0.336,0.999991,-0.336,-0.983981
1.1237,0.928589,0.334,1.00001,-0.334,-0.996024
1.12296,0.928558,0.332,0.999991,-0.332,-1.00798
1.12222,0.928589,0.33,1.00001,-0.33,-1.02002
1.12148,0.928558,0.328,0.999991,-0.328,-1.03198
1.12074,0.928558,0.326,0.999991,-0.326,-1.04398
1.12,0.928589,0.324,1.00001,-0.324,-1.05602
1.11926,0.928558,0.322,0.999991,-0.322,-1.06798
1.11852,0.928589,0.32,1.00001,-0.32,-1.08002
1.11778,0.928558,0.318,0.999991,-0.318,-1.09198
1.11704,0.928589,0.316,1.00001,-0.316,-1.10402
1.1163,0.928558,0.314,0.999991,-0.314,-1.11598
1.11556,0.928558,0.312,0.999991,-0.312,-1.12798
1.11481,0.928589,0.31,1.00001,-0.31,-1.14002
1.11407,0.928558,0.308,0.999991,-0.308,-1.15198
1.11333,0.928589,0.306,1.00001,-0.306,-1.16402
1.11259,0.928558,0.304,0.999991,-0.304,-1.17598
1.11185,0.928589,0.302,1.00001,-0.302,-1.18802
1.11111,0.928558,0.3,0.999991,-0.3,-1.19998
1.11037,0.928558,0.298,0.999991,-0.298,-1.21198
1.10963,0.928589,0.296,1.00001,-0.296,-1.22402
1.10889,0.928558,0.294,0.999991,-0.294,-1.23598
1.10815,0.928589,0.292,1.00001,-0.292,-1.24802
1.10741,0.928558,0.29,0.999991,-0.29,-1.25998
1.10667,0.928589,0.288,1.00001,-0.288,-1.27202
1.10593,0.928558,0.286,0.999991,-0.286,-1.28398
1.10519,0.928558,0.284,0.999991,-0.284,-1.29598
1.10444,0.928589,0.282,1.00001,-0.282,-1.30802
1.1037,0.928558,0.28,0.999991,-0.28,-1.31998
1.10296,0.928589,0.278,1.00001,-0.278,-1.33202
1.10222,0.928558,0.276,0.999991,-0.276,-1.34398
1.10148,0.928589,0.274,1.00001,-0.274,-1.35602
1.10074,0.928558,0.272,0.999991,-0.272,-1.36798
1.1,0.928558,0.27,0.999991,-0.27,-1.37998
1.09926,0.928589,0.268,1.00001,-0.268,-1.39202
1.09852,0.928558,0.266,0.999991,-0.266,-1.40398
1.09778,0.928589,0.264,1.00001,-0.264,-1.41602
1.09704,0.928558,0.262,0.999991,-0.262,-1.42799
1.0963,0.928589,0.26,1.00001,-0.26,-1.44002
1.09556,0.928558,0.258,0.999991,-0.258,-1.45199
1.09481,0.928558,0.256,0.999991,-0.256,-1.46399
1.09407,0.928589,0.254,1.00001,-0.254,-1.47602
1.09333,0.928558,0.252,0.999991,-0.252,-1.48799
1.09259,0.928589,0.25,1.00001,-0.25,-1.50002
1.09185,0.928558,0.248,0.999991,-0.248,-1.51199
1.09111,0.928589,0.246,1.00001,-0.246,-1.52402
1.09037,0.928558,0.244,0.999991,-0.244,-1.53599
1.08963,0.928558,0.242,0.999991,-0.242,-1.54799
1.08889,0.928589,0.24,1.00001,-0.24,-1.56002
1.08815,0.928558,0.238,0.999991,-0.238,-1.57199
1.08741,0.928589,0.236,1.00001,-0.236,-1.58402
1.08667,0.928558,0.234,0.999991,-0.234,-1.59599
1.08593,0.928589,0.232,1.00001,-0.232,-1.60802
1.08519,0.928558,0.23,0.999991,-0.23,-1.61999
1.08444,0.928558,0.228,0.999991,-0.228,-1.63199
1.0837,0.928589,0.226,1.00001,-0.226,-1.64402
1.08296,0.928558,0.224,0.999991,-0.224,-1.65599
1.08222,0.928589,0.222,1.00001,-0.222,-1.66802
1.08148,0.928558,0.22,0.999991,-0.22,-1.67999
1.08074,0.928589,0.218,1.00001,-0.218,-1.69202
1.08,0.928558,0.216,0.999991,-0.216,-1.70399
1.07926,0.928558,0.214,0.999991,-0.214,-1.71599
1.07852,0.928589,0.212,1.00001,-0.212,-1.72801
1.07778,0.928558,0.21,0.999991,-0.21,-1.73999
1.07704,0.928589,0.208,1.00001,-0.208,-1.75201
1.0763,0.928558,0.206,0.999991,-0.206,-1.76399
1.07556,0.928589,0.204,1.00001,-0.204,-1.77601
1.07481,0.928558,0.202,0.999991,-0.202,-1.78799
1.07407,0.928558,0.2,0.999991,-0.2,-1.79999
1.07333,0.928589,0.198,1.00001,-0.198,-1.81201
1.07259,0.928558,0.196,0.999991,-0.196,-1.82399
1.07185,0.928589,0.194,1.00001,-0.194,-1.83601
1.07111,0.928558,0.192,0.999991,-0.192,-1.84799
1.07037,0.928589,0.19,1.00001,-0.19,-1.86001
1.06963,0.928558,0.188,0.999991,-0.188,-1.87199
1.06889,0.928558,0.186,0.999991,-0.186,-1.88399
1.06815,0.928589,0.184,1.00001,-0.184,-1.89601
1.06741,0.928558,0.182,0.999991,-0.182,-1.90799
1.06667,0.928589,0.18,1.00001,-0.18,-1.92001
1.06593,0.928558,0.178,0.999991,-0.178,-1.93199
1.06519,0.928589,0.176,1.00001,-0.176,-1.94401
1.06444,0.928558,0.174,0.999991,-0.174,-1.95599
1.0637,0.928558,0.172,0.999991,-0.172,-1.96799
1.06296,0.928589,0.17,1.00001,-0.17,-1.98001
1.06222,0.928558,0.168,0.999991,-0.168,-1.99199
1.06148,0.928589,0.166,1.00001,-0.166,-2.00401
1.06074,0.928558,0.164,0.999991,-0.164,-2.01599
